Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:45:05	25	25	25	8	2014/04/01-06:44:35
2014/04/01-06:45:15	34	34	34	8	2014/04/01-06:44:35
2014/04/01-06:45:20	41	41	41	8	2014/04/01-06:44:35
2014/04/01-06:46:02	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:22	48	48	48	24	2014/04/01-06:46:02
2014/04/01-06:46:32	487	487	487	162	2014/04/01-06:46:02
2014/04/01-06:46:42	929	929	929	232	2014/04/01-06:46:02
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:31	5	5	5	2	2014/04/01-06:47:15
2014/04/01-06:47:45	219	219	219	73	2014/04/01-06:47:15
2014/04/01-06:47:55	659	659	659	164	2014/04/01-06:47:15
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:43	17	17	17	4	2014/04/01-06:52:02
2014/04/01-06:52:45	22	22	22	4	2014/04/01-06:52:02
2014/04/01-06:53:03	33	33	33	5	2014/04/01-06:52:02
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:54:05	30	30	30	15	2014/04/01-06:53:45
2014/04/01-06:54:15	75	75	75	25	2014/04/01-06:53:45
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:01	6	6	6	3	2014/04/01-06:56:46
2014/04/01-06:57:30	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:22	975	975	975	487	2014/04/01-06:58:02
2014/04/01-06:58:32	3749	3749	3749	1249	2014/04/01-06:58:02
2014/04/01-06:58:42	6589	6589	6589	1647	2014/04/01-06:58:02
2014/04/01-06:58:52	9394	9394	9394	1878	2014/04/01-06:58:02
2014/04/01-06:59:02	12273	12273	12273	2045	2014/04/01-06:58:02
2014/04/01-06:59:12	14799	14799	14799	2114	2014/04/01-06:58:02
2014/04/01-06:59:22	17686	17686	17686	2210	2014/04/01-06:58:02
2014/04/01-06:59:32	20515	20515	20515	2279	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	2055	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1868	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1713	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1581	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1468	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1370	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1284	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1209	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1142	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1082	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	1027	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	978	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	934	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	893	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	856	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	822	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	790	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	761	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	734	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	708	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	685	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	663	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	642	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	622	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	604	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	587	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	571	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	555	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	541	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	527	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	513	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	501	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	489	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	478	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	467	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	456	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	446	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	437	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	428	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	419	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	411	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	403	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	395	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	387	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	373	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	360	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	354	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	348	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	342	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	337	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	331	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	326	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	321	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	316	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	311	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	306	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	302	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	297	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	293	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	289	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	285	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	281	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	277	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	274	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	270	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	266	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	263	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	260	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	256	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	253	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	250	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	247	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	244	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	241	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	239	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	233	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	228	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	223	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	221	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	218	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	216	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	214	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	209	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	205	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	201	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	199	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	195	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	192	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	188	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	186	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	185	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	183	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	181	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	180	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	178	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	177	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	175	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	174	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	172	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	171	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	169	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	168	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	167	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	165	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	164	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	163	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	161	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	160	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	159	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	158	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	156	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	155	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	154	2014/04/01-06:58:02
2014/04/01-06:59:32	20558	20558	20558	153	2014/04/01-06:58:02
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:22:15	624	624	624	312	2014/04/01-07:21:45
2014/04/01-07:22:25	3530	3530	3530	882	2014/04/01-07:21:45
2014/04/01-07:26:27	0	-1	-1	-1	2014/04/01-07:26:27
2014/04/01-07:26:27	0	-1	-1	-1	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:28:17	0	-1	-1	-1	2014/04/01-07:28:17
2014/04/01-07:28:37	5	5	5	2	2014/04/01-07:28:17
2014/04/01-07:28:47	1675	1675	1675	558	2014/04/01-07:28:17
2014/04/01-07:28:57	4659	4659	4659	1164	2014/04/01-07:28:17
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:34	5	5	5	2	2014/04/01-07:29:18
2014/04/01-07:29:44	10	10	10	3	2014/04/01-07:29:18
2014/04/01-07:29:58	1262	1262	1262	315	2014/04/01-07:29:18
2014/04/01-07:30:08	4340	4340	4340	868	2014/04/01-07:29:18
2014/04/01-07:30:18	7398	7398	7398	1233	2014/04/01-07:29:18
2014/04/01-07:30:28	10332	10332	10332	1476	2014/04/01-07:29:18
2014/04/01-07:30:38	13400	13400	13400	1675	2014/04/01-07:29:18
2014/04/01-07:30:46	15630	15630	15630	1736	2014/04/01-07:29:18
2014/04/01-07:30:46	15630	15630	15630	1563	2014/04/01-07:29:18
2014/04/01-07:30:46	15630	15630	15630	1420	2014/04/01-07:29:18
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:55:35	0	-1	-1	-1	2014/04/01-07:55:35
2014/04/01-07:55:35	0	-1	-1	-1	2014/04/01-07:55:35
2014/04/01-07:56:19	0	-1	-1	-1	2014/04/01-07:56:19
2014/04/01-07:56:19	0	-1	-1	-1	2014/04/01-07:56:19
2014/04/01-07:58:10	0	-1	-1	-1	2014/04/01-07:58:10
2014/04/01-07:58:43	0	-1	-1	-1	2014/04/01-07:58:43
2014/04/01-07:58:43	0	-1	-1	-1	2014/04/01-07:58:43
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:54:24	0	-1	-1	-1	2014/04/01-08:54:24
2014/04/01-08:54:24	0	-1	-1	-1	2014/04/01-08:54:24
2014/04/01-08:55:12	0	-1	-1	-1	2014/04/01-08:55:12
2014/04/01-08:55:12	0	-1	-1	-1	2014/04/01-08:55:12
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:57:14	3	3	3	0	2014/04/01-08:56:35
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:21:46	6	6	6	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:21:49	11	11	11	1	2014/04/01-09:20:59
2014/04/01-09:22:57	16	16	16	1	2014/04/01-09:20:59
2014/04/01-09:23:00	21	21	21	1	2014/04/01-09:20:59
