Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:54	1	1	1	0	2014/04/01-06:44:35
2014/04/01-06:45:04	25	25	25	8	2014/04/01-06:44:35
2014/04/01-06:45:15	36	36	36	9	2014/04/01-06:44:35
2014/04/01-06:45:20	41	41	41	8	2014/04/01-06:44:35
2014/04/01-06:46:02	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:22	58	58	58	29	2014/04/01-06:46:02
2014/04/01-06:46:32	498	498	498	166	2014/04/01-06:46:02
2014/04/01-06:46:42	944	944	944	236	2014/04/01-06:46:02
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:31	5	5	5	2	2014/04/01-06:47:15
2014/04/01-06:47:45	235	235	235	78	2014/04/01-06:47:15
2014/04/01-06:47:55	676	676	676	169	2014/04/01-06:47:15
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:30	1	1	1	0	2014/04/01-06:52:02
2014/04/01-06:52:42	17	17	17	4	2014/04/01-06:52:02
2014/04/01-06:52:45	22	22	22	4	2014/04/01-06:52:02
2014/04/01-06:53:03	34	34	34	5	2014/04/01-06:52:02
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:54:05	31	31	31	15	2014/04/01-06:53:45
2014/04/01-06:54:15	76	76	76	25	2014/04/01-06:53:45
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:06	95	95	95	47	2014/04/01-06:56:46
2014/04/01-06:57:30	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:22	1084	1084	1084	542	2014/04/01-06:58:02
2014/04/01-06:58:32	3858	3858	3858	1286	2014/04/01-06:58:02
2014/04/01-06:58:42	6702	6702	6702	1675	2014/04/01-06:58:02
2014/04/01-06:58:52	9506	9506	9506	1901	2014/04/01-06:58:02
2014/04/01-06:59:02	12386	12386	12386	2064	2014/04/01-06:58:02
2014/04/01-06:59:12	14908	14908	14908	2129	2014/04/01-06:58:02
2014/04/01-06:59:22	17797	17797	17797	2224	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	2285	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	2057	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1870	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1714	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1582	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1469	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1371	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1285	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1210	2014/04/01-06:58:02
2014/04/01-06:59:32	20571	20571	20571	1142	2014/04/01-06:58:02
